食物,热量,链接
早餐奶,热量：68 大卡(每100克),http://www.boohee.com/shiwu/zaocannai
酸奶（高蛋白）,热量：62 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_gaodanbai
奶片,热量：472 大卡(每100克),http://www.boohee.com/shiwu/naipian
全脂牛奶粉,热量：478 大卡(每100克),http://www.boohee.com/shiwu/quanzhiniunaifen
光明 纯牛奶，又叫光明牛奶,热量：66 大卡(每100毫升),http://www.boohee.com/shiwu/fded1a79
光明 优倍 高品质鲜牛奶,热量：65 大卡(每100毫升),http://www.boohee.com/shiwu/fd962a6c
光明 优倍 0脂肪 高品质脱脂鲜牛奶,热量：35 大卡(每100毫升),http://www.boohee.com/shiwu/fd460d85
光明 优倍 0乳糖 巴士杀菌调制乳,热量：67 大卡(每100毫升),http://www.boohee.com/shiwu/fdb14fc7
光明 致优 全鲜乳,热量：63 大卡(每100毫升),http://www.boohee.com/shiwu/fdb47466
光明 0脂肪 鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/fd458bc8
牛奶(强化VA，VD)，又叫牛乳(强化VA...,热量：51 大卡(每100克),http://www.boohee.com/shiwu/niuru_qianghuaVA_VD
光明 低脂牛奶,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingdizhiniunai
蒙牛 木糖醇酸牛奶,热量：63 大卡(每100克),http://www.boohee.com/shiwu/mengniusuanniunaimutangchun
低脂奶酪,热量：241 大卡(每100克),http://www.boohee.com/shiwu/dizhinailao
伊利 无蔗糖酸牛奶（利乐包）150g,热量：52 大卡(每100毫升),http://www.boohee.com/shiwu/yiliwuzhetangsuanniunai
蒙牛 酸牛奶（草莓+树莓）100g （小盒装）,热量：92 大卡(每100克),http://www.boohee.com/shiwu/mengniusuanniunai_caomeishumeiguoli
光明减脂90%脱脂鲜牛奶,热量：32 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingjianzhi90tuozhixianniunai
伊利优品嘉人优酪乳（原味）,热量：73 大卡(每100克),http://www.boohee.com/shiwu/yiliyoupinjiarenyoulaoru_yuanwei
光明畅优红枣燕麦低脂酸奶,热量：69 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingchangyouhongzaoyanmaidizhisuannai
光明 芦荟酸奶,热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingluhuisuannai
伊利酸牛奶(原味),热量：87 大卡(每100毫升),http://www.boohee.com/shiwu/yilisuanniunai
全脂速溶奶粉,热量：466 大卡(每100克),http://www.boohee.com/shiwu/quanzhisurongnaifen
雀巢/Nestle 高钙高铁奶粉,热量：416 大卡(每100克),http://www.boohee.com/shiwu/quechaogaogaigaotienaifen
伊利 大果粒酸牛奶（红茶+草莓+椰果）,热量：92 大卡(每100克),http://www.boohee.com/shiwu/yilidaguolisuanniunai
奶酪（光明牌）,热量：348 大卡(每100克),http://www.boohee.com/shiwu/nailao_guangmingpai
伊利 优品嘉人优酪乳酸牛奶,热量：78 大卡(每100克),http://www.boohee.com/shiwu/yiliyoupinjiarenyoulaoru
光明优＋高品质牛奶(利乐枕）,热量：62 大卡(每100毫升),http://www.boohee.com/shiwu/guangmingyouhigaopinzhiniunai
牛奶（完达山牌），又叫牛乳（完达山牌）,热量：60 大卡(每100克),http://www.boohee.com/shiwu/niuru_wandashanpai
蒙牛 冠益乳特品酸牛奶（原味）,热量：85 大卡(每100克),http://www.boohee.com/shiwu/mengniuguanyirutepinsuanniunaiyuanwei
全脂加糖奶粉,热量：490 大卡(每100克),http://www.boohee.com/shiwu/quanzhijiatangnaifen
蒙牛 酸牛奶（草莓味）罐装950ml（盒装）,热量：85 大卡(每100克),http://www.boohee.com/shiwu/mengniucaomeiweisuanniunai
雀巢/Nestle 高纤高钙奶粉,热量：428 大卡(每100克),http://www.boohee.com/shiwu/quechaopaigaoxiangaogainaifen
味全优酪乳（原味）,热量：88 大卡(每100克),http://www.boohee.com/shiwu/weiquanyoulaoru_yuanwei
蒙牛冠益乳特品酸牛奶木糖醇味,热量：63 大卡(每100克),http://www.boohee.com/shiwu/mengniuguanyirutepinsuanniunaimutangchunwei
伊利优品嘉人优酪乳·酸牛奶[焕颜蓝莓],热量：78 大卡(每100克),http://www.boohee.com/shiwu/yiliyoulaoru_youpinjiaren_huanyanlanmei
低脂奶粉（高钙高铁，伊利牌）,热量：423 大卡(每100克),http://www.boohee.com/shiwu/dizhinaifen_gaogaigaotie_yilipai
苹果，又叫滔婆、柰、柰子、频婆、平波、天然子,热量：53 大卡(每100克),http://www.boohee.com/shiwu/pingguo_junzhi
大白菜，又叫白菜,热量：20 大卡(每100克),http://www.boohee.com/shiwu/dabaicai_junzhi
小白菜，又叫青菜、油白菜、白菜秧、白菜、杭白菜,热量：17 大卡(每100克),http://www.boohee.com/shiwu/xiaobaicai
香蕉，又叫蕉子、蕉果、甘蕉,热量：93 大卡(每100克),http://www.boohee.com/shiwu/xiangjiao
番茄，又叫西红柿、洋柿子、狼桃、番李子、金...,热量：15 大卡(每100克),http://www.boohee.com/shiwu/fanqie
黄瓜，又叫青瓜,热量：16 大卡(每100克),http://www.boohee.com/shiwu/huanggua
西瓜，又叫寒瓜、天生白虎汤、夏瓜、水瓜,热量：31 大卡(每100克),http://www.boohee.com/shiwu/xigua_junzhi
桃子，又叫桃,热量：42 大卡(每100克),http://www.boohee.com/shiwu/tao_junzhi
上海青，又叫青菜，小青菜,热量：18 大卡(每100克),http://www.boohee.com/shiwu/piaoerbai
红富士苹果,热量：49 大卡(每100克),http://www.boohee.com/shiwu/hongfushipingguo
橙，又叫橙子、金球、香橙、黄橙、脐橙,热量：48 大卡(每100克),http://www.boohee.com/shiwu/cheng
菜心，又叫白菜薹、薹菜,热量：28 大卡(每100克),http://www.boohee.com/shiwu/baicaitai
柚子，又叫文旦、香抛、霜柚、臭橙、柚,热量：42 大卡(每100克),http://www.boohee.com/shiwu/you
白萝卜，又叫萝卜、莱菔,热量：16 大卡(每100克),http://www.boohee.com/shiwu/bailuobo
梨，又叫梨子、快果、玉乳、果宗、蜜父、雪梨...,热量：51 大卡(每100克),http://www.boohee.com/shiwu/li_junzhi
花菜，又叫菜花、花椰菜、椰花菜、洋花菜,热量：20 大卡(每100克),http://www.boohee.com/shiwu/caihua
结球甘蓝(紫），又叫紫甘蓝、甘蓝,热量：25 大卡(每100克),http://www.boohee.com/shiwu/jieqiuganlan_zi
冬枣，又叫枣子，枣,热量：113 大卡(每100克),http://www.boohee.com/shiwu/dongzao
猕猴桃，又叫毛桃、藤梨、苌楚、羊桃、毛梨、...,热量：61 大卡(每100克),http://www.boohee.com/shiwu/zhonghuamihoutao
南瓜，又叫麦瓜、番瓜、倭瓜、金瓜、伏瓜、饭...,热量：23 大卡(每100克),http://www.boohee.com/shiwu/nangua
胡萝卜（老），又叫萝卜、黄萝卜、丁香萝卜、...,热量：39 大卡(每100克),http://www.boohee.com/shiwu/huluobo_hong
生菜，又叫牛俐,热量：16 大卡(每100克),http://www.boohee.com/shiwu/shengcai_niuli
